"time","batteryThermal.temperature","der(batteryThermal.temperature)","battery.current","battery.voltage","batteryThermal.heatGeneration","motor.speed","motor.torque"
0,25,0.001125,7.5,399.925,0.5625,1500,150
1,25.00111104207603,0.001097121091860504,7.42147310230468,399.9257852689769,0.5507826300823185,1515.705379539064,148.4294620460936
2,25.0021944724106,0.001069622051878458,7.343023701176718,399.9265697629882,0.5391999707604302,1531.395259764657,146.8604740235344
3,25.00325092133357,0.001042522126506274,7.264729216703714,399.9273527078329,0.5277629059202855,1547.054156659257,145.2945843340743
4,25.00428043410171,0.001015841890849383,7.186666916089239,399.9281333308391,0.5164818136281162,1562.666616782152,143.7333383217848
5,25.00528469622447,0.0009895943340534935,7.108913837399422,399.928910861626,0.5053665594756898,1578.217232520115,142.1782767479884
6,25.00626339817872,0.0009637993909778219,7.031546713535689,399.9296845328647,0.4944264918463455,1593.690657292862,140.6309342707138
7,25.00721642202682,0.0009384751900661788,6.954641896508644,399.9304535810349,0.4836704390867335,1609.071620698271,139.0928379301729
8,25.00814376776878,0.0009136383460484881,6.878275282087863,399.9312172471791,0.4731067085618087,1624.344943582427,137.5655056417573
9,25.00904818609431,0.0008892934307494561,6.802522234901926,399.931974777651,0.462743087563351,1639.495553019615,136.0504446980385
10,25.00992882972074,0.0008654583731874149,6.727457514062633,399.9327254248594,0.4525868460351778,1654.508497187474,134.5491502812527
11,25.0107851816267,0.0008421487556357532,6.653155199386773,399.9334684480061,0.4426447410712725,1669.368960122646,133.0631039877354
12,25.01161724181221,0.0008193770790238256,6.579688618288305,399.9342031138171,0.4329230231363266,1684.062276342339,131.5937723657661
13,25.01242852661705,0.0007971407814351704,6.507130273413049,399.9349286972659,0.4234274439516858,1698.57394531739,130.142605468261
14,25.01321869183996,0.000775451764607064,6.43555177108732,399.9356444822891,0.4141632659834514,1712.889645782536,128.7110354217464
15,25.01398661639371,0.0007543240813522119,6.365023750651133,399.9363497624935,0.4051352734635302,1726.995249869773,127.3004750130226
16,25.01473230027832,0.0007337663686242395,6.295615814745712,399.9370438418525,0.3963477848687632,1740.876837050858,125.9123162949142
17,25.01545900194158,0.0007137733257895331,6.227396460624071,399.9377260353938,0.3878046667779321,1754.520707875186,124.5479292124814
18,25.01616729751915,0.0006943495079663216,6.16043301255251,399.9383956698745,0.3795093490214679,1767.913397489498,123.2086602510502
19,25.01685559351171,0.0006755073080212679,6.094791555369675,399.9390520844463,0.371464841034055,1781.041688926065,121.8958311073935
20,25.01752388991924,0.0006572519389552392,6.030536869268817,399.9396946313073,0.3636737493161054,1793.892626146237,120.6107373853763
21,25.01817403343688,0.0006395804580649367,5.967732365867558,399.9403226763413,0.356138295906232,1806.453526826488,119.3546473173512
22,25.0188077956549,0.0006224894929072861,5.906440025628277,399.9409355997437,0.3488603377634377,1818.711994874345,118.1288005125655
23,25.01942452780319,0.0006059846626967381,5.846720336690872,399.9415327966331,0.3418413869547463,1830.655932661826,116.9344067338174
24,25.02002475854744,0.0005900662288931297,5.788632235178278,399.9421136776482,0.3350826315414506,1842.273552964344,115.7726447035655
25,25.02060901655338,0.0005747338478965575,5.732233047033631,399.9426776695296,0.3285849570550447,1853.553390593274,114.6446609406726
26,25.02117783048672,0.000559986614957654,5.677578431446472,399.9432242156855,0.3223489684522618,1864.484313710706,113.5515686289294
27,25.02173172901315,0.0005458231088223199,5.624722325923852,399.9437527767408,0.3163750124374622,1875.05553481523,112.494446518477
28,25.0222712407984,0.0005322414368861664,5.573716893060526,399.9442628310694,0.3106632000398828,1885.256621387895,111.4743378612105
29,25.02279717052726,0.0005192381765570007,5.524612469060774,399.9447538753094,0.3052134293330178,1895.077506187845,110.4922493812155
30,25.02331056338475,0.0005068085628282206,5.477457514062632,399.9452254248594,0.3000254081836119,1904.508497187474,109.5491502812526
31,25.02381153736091,0.0004949512043932176,5.432298564313595,399.9456770143569,0.2950986769184355,1913.540287137281,108.6459712862719
32,25.02430066794323,0.0004836625898233724,5.389180186244963,399.9461081981376,0.290432630798153,1922.163962751008,107.7836037248993
33,25.02477853061918,0.0004729389619016931,5.34814493249014,399.9465185506751,0.2860265421891997,1930.371013501972,106.9628986498028
34,25.02524570087623,0.0004627763611483702,5.309233299890342,399.9469076670011,0.2818795823266449,1938.153340021932,106.1846659978068
35,25.02570275420187,0.0004531706683195393,5.272483689529082,399.9472751631047,0.277990842563502,1945.503262094184,105.4496737905816
36,25.02615026608357,0.0004441176456755172,5.237932368834951,399.9476206763117,0.2743593550048892,1952.41352623301,104.758647376699
37,25.02658883580389,0.0004356128816420172,5.205613435790048,399.9479438656421,0.2709841124287787,1958.87731284199,104.112268715801
38,25.02701920204562,0.0004276513666151894,5.175558785279371,399.9482444121472,0.2678640873988248,1964.888242944126,103.5111757055874
39,25.02744182395774,0.0004202292051268546,5.147798077614436,399.9485220192238,0.2649982504789088,1970.440384477113,102.9559615522887
40,25.02785728460112,0.0004133420365225801,5.122358709262116,399.9487764129074,0.2623855874635345,1975.528258147577,102.4471741852423
41,25.02826616703658,0.0004069855629398326,5.099265785807642,399.9490073421419,0.2600251155430843,1980.146842838471,101.9853157161528
42,25.02866905432498,0.0004011555793563664,5.078542097178422,399.9492145790282,0.2579158983281341,1984.291580564316,101.5708419435684
43,25.02906652952714,0.0003958480012165103,5.060208095153132,399.9493979190485,0.2560570596625328,1987.958380969374,101.2041619030626
44,25.02945917570391,0.0003910588895058477,5.044281873178278,399.9495571812682,0.2544477961607496,1991.143625364344,100.8856374635655
45,25.02984757591615,0.0003867844731575061,5.030779148512156,399.9496922085149,0.2530873884110469,1993.844170297569,100.6155829702431
46,25.03023149977133,0.0003830244224993658,5.019713246713806,399.9498028675329,0.2519752107923406,1996.057350657239,100.3942649342761
47,25.03061200601163,0.0003797734556717132,5.0110950884923,399.9498890491151,0.2511107398591165,1997.78098230154,100.221901769846
48,25.03098968480782,0.0003770283832796669,5.004933178929321,399.9499506682107,0.2504935612554756,1999.013364214136,100.0986635785864
49,25.03136508660141,0.0003747864038468225,5.001233599085671,399.9499876640091,0.2501233751262342,1999.753280182866,100.0246719817134
50,25.03173876183392,0.0003730449526643016,5.000000000000001,399.95,0.2500000000000001,2000,100
51,25.03211126094687,0.0003718017064649888,5.001233599085671,399.9499876640091,0.2501233751262342,1999.753280182866,100.0246719817134
52,25.03248313438177,0.0003710545849838828,5.004933178929321,399.9499506682107,0.2504935612554756,1999.013364214136,100.0986635785864
53,25.03285493258013,0.0003708017493977025,5.0110950884923,399.9498890491151,0.2511107398591165,1997.78098230154,100.221901769846
54,25.03322634146093,0.0003710450557409695,5.019713246713806,399.9498028675329,0.2519752107923406,1996.057350657239,100.3942649342761
55,25.03359813683339,0.0003717822294885322,5.030779148512156,399.9496922085149,0.2530873884110469,1993.844170297569,100.6155829702431
56,25.03397106138163,0.0003730113467949734,5.04428187317828,399.9495571812682,0.2544477961607498,1991.143625364344,100.8856374635656
57,25.03434562060878,0.0003747316368899368,5.060208095153132,399.9493979190485,0.2560570596625328,1987.958380969374,101.2041619030626
58,25.03472232001798,0.0003769425165843605,5.078542097178422,399.9492145790282,0.2579158983281341,1984.291580564316,101.5708419435684
59,25.03510166511234,0.0003796435706367965,5.099265785807642,399.9490073421419,0.2600251155430843,1980.146842838471,101.9853157161528
60,25.03548416139502,0.0003828345293469807,5.122358709262116,399.9487764129074,0.2623855874635345,1975.528258147577,102.4471741852423
61,25.03587031436913,0.0003865152434812802,5.147798077614436,399.9485220192238,0.2649982504789088,1970.440384477113,102.9559615522887
62,25.03626030497691,0.00039068695489001,5.175558785279371,399.9482444121472,0.2678640873988248,1964.888242944126,103.5111757055874
63,25.03665450434815,0.0003953502074649596,5.205613435790048,399.9479438656421,0.2709841124287787,1958.87731284199,104.112268715801
64,25.03705357153711,0.0004005044238613195,5.237932368834951,399.9476206763117,0.2743593550048892,1952.41352623301,104.758647376699
65,25.03745795860843,0.0004061498506932919,5.272483689529082,399.9472751631047,0.277990842563502,1945.503262094184,105.4496737905816
66,25.03786811390252,0.0004122867090431996,5.309233299890342,399.9469076670011,0.2818795823266449,1938.153340021932,106.1846659978068
67,25.03828448203564,0.0004189151562358435,5.34814493249014,399.9465185506751,0.2860265421891997,1930.371013501972,106.9628986498028
68,25.03870750389981,0.0004260352459970751,5.389180186244963,399.9461081981376,0.290432630798153,1922.163962751008,107.7836037248993
69,25.03913761666288,0.0004336468871853617,5.432298564313597,399.9456770143569,0.2950986769184357,1913.540287137281,108.6459712862719
70,25.03957546434464,0.0004417489589886629,5.477457514062632,399.9452254248594,0.3000254081836119,1904.508497187474,109.5491502812526
71,25.04002180658029,0.0004503396323448685,5.524612469060774,399.9447538753094,0.3052134293330178,1895.077506187845,110.4922493812155
72,25.04047683267506,0.0004594190693795347,5.573716893060526,399.9442628310694,0.3106632000398828,1885.256621387895,111.4743378612105
73,25.04094101909567,0.0004689859484922621,5.624722325923852,399.9437527767408,0.3163750124374622,1875.05553481523,112.494446518477
74,25.04141484241286,0.0004790385672531015,5.677578431446472,399.9432242156855,0.3223489684522618,1864.484313710706,113.5515686289294
75,25.04189877930135,0.0004895747969046952,5.732233047033631,399.9426776695296,0.3285849570550447,1853.553390593274,114.6446609406726
76,25.04239330653985,0.0005005920369235157,5.78863223517828,399.9421136776482,0.3350826315414509,1842.273552964344,115.7726447035656
77,25.04289890101107,0.0005120871698651936,5.846720336690872,399.9415327966331,0.3418413869547463,1830.655932661826,116.9344067338174
78,25.04341607021484,0.0005240563946675337,5.906440025628277,399.9409355997437,0.3488603377634377,1818.711994874345,118.1288005125655
79,25.04394545029728,0.0005364947906233613,5.96773236586756,399.9403226763413,0.3561382959062322,1806.453526826488,119.3546473173512
80,25.04448742144927,0.0005493978128351224,6.030536869268817,399.9396946313073,0.3636737493161054,1793.892626146237,120.6107373853763
81,25.04504247781086,0.0005627597708246565,6.094791555369675,399.9390520844463,0.371464841034055,1781.041688926065,121.8958311073935
82,25.04561111483207,0.0005765742387146411,6.16043301255251,399.9383956698745,0.3795093490214679,1767.913397489498,123.2086602510502
83,25.04619382927287,0.0005908340164643718,6.227396460624073,399.9377260353938,0.3878046667779323,1754.520707875186,124.5479292124814
84,25.04679111920321,0.0006055310929246873,6.295615814745712,399.9370438418525,0.3963477848687632,1740.876837050858,125.9123162949142
85,25.04740348400297,0.0006206566109151942,6.365023750651135,399.9363497624935,0.4051352734635305,1726.995249869773,127.3004750130227
86,25.04803142436203,0.0006362008345187975,6.43555177108732,399.9356444822891,0.4141632659834514,1712.889645782536,128.7110354217464
87,25.04867462639864,0.0006521563823088269,6.507130273413049,399.9349286972659,0.4234274439516858,1698.57394531739,130.142605468261
88,25.04933403729796,0.0006685098970808265,6.579688618288305,399.9342031138171,0.4329230231363266,1684.062276342339,131.5937723657661
89,25.05001010450366,0.0006852490641279216,6.653155199386773,399.9334684480061,0.4426447410712725,1669.368960122646,133.0631039877354
90,25.050703261865,0.0007023606446103722,6.727457514062633,399.9327254248594,0.4525868460351778,1654.508497187473,134.5491502812527
91,25.05141393966202,0.0007198304164786241,6.802522234901926,399.931974777651,0.462743087563351,1639.495553019615,136.0504446980385
92,25.05214256460552,0.0007376431587015175,6.878275282087862,399.9312172471791,0.4731067085618086,1624.344943582428,137.5655056417572
93,25.05288955983706,0.0007557826388252316,6.954641896508645,399.9304535810349,0.4836704390867336,1609.071620698271,139.0928379301729
94,25.05365534492895,0.0007742316039768968,7.031546713535689,399.9296845328647,0.4944264918463455,1593.690657292862,140.6309342707138
95,25.05443921412231,0.0007929762624621346,7.108913837399424,399.928910861626,0.50536655947569,1578.217232520115,142.1782767479885
96,25.05524184484199,0.0008119962478882559,7.186666916089241,399.9281333308391,0.5164818136281164,1562.666616782152,143.7333383217848
97,25.05606376360957,0.0008312707574022831,7.264729216703714,399.9273527078329,0.5277629059202855,1547.054156659257,145.2945843340743
98,25.0569052492883,0.0008507789443676508,7.343023701176718,399.9265697629882,0.5391999707604302,1531.395259764657,146.8604740235344
99,25.0577665685012,0.0008704989861598341,7.42147310230468,399.9257852689769,0.5507826300823185,1515.705379539064,148.4294620460936
100,25.05864797563104,0.0008904080974758557,7.5,399.925,0.5625,1500,150
101,25.05954971282031,0.00091048254750059,7.578526897695323,399.924214731023,0.5743406993909149,1484.294620460936,151.5705379539064
102,25.06047200997128,0.0009306976809297185,7.656976298823283,399.9234302370118,0.586292860407415,1468.604740235343,153.1395259764656
